"ID","Name","Sex","Age","Height","Weight","Team","NOC","Games","Year","Season","City","Sport","Event","Medal"
"12485","Loredana Boboc","F","16","139","32","Romania","ROU","2000 Summer","2000","Summer","Sydney","Gymnastics","Gymnastics Women's Team All-Around","Gold"
"7444","Oana Mihaela Ban","F","18","139","36","Romania","ROU","2004 Summer","2004","Summer","Athina","Gymnastics","Gymnastics Women's Team All-Around","Gold"
"16353","Diana Laura Bulimar","F","16","140","NA","Romania","ROU","2012 Summer","2012","Summer","London","Gymnastics","Gymnastics Women's Team All-Around","Bronze"
"27672","Joseph Nicholas ""Joe"" DePietro","M","34","140","56","United States","USA","1948 Summer","1948","Summer","London","Weightlifting","Weightlifting Men's Bantamweight","Gold"
"11223","Bi Wenjing","F","14","142","35","China","CHN","1996 Summer","1996","Summer","Atlanta","Gymnastics","Gymnastics Women's Uneven Bars","Silver"
"24456","Laura Cutina","F","15","143","36","Romania","ROU","1984 Summer","1984","Summer","Los Angeles","Gymnastics","Gymnastics Women's Team All-Around","Gold"
"11495","Simone Arianne Biles","F","19","143","47","United States","USA","2016 Summer","2016","Summer","Rio de Janeiro","Gymnastics","Gymnastics Women's Balance Beam","Bronze"
"11495","Simone Arianne Biles","F","19","143","47","United States","USA","2016 Summer","2016","Summer","Rio de Janeiro","Gymnastics","Gymnastics Women's Individual All-Around","Gold"
"11495","Simone Arianne Biles","F","19","143","47","United States","USA","2016 Summer","2016","Summer","Rio de Janeiro","Gymnastics","Gymnastics Women's Team All-Around","Gold"
"11495","Simone Arianne Biles","F","19","143","47","United States","USA","2016 Summer","2016","Summer","Rio de Janeiro","Gymnastics","Gymnastics Women's Floor Exercise","Gold"
"11495","Simone Arianne Biles","F","19","143","47","United States","USA","2016 Summer","2016","Summer","Rio de Janeiro","Gymnastics","Gymnastics Women's Horse Vault","Gold"
"23563","Patrick ""Pat"" Cowdell","M","22","143","54","Great Britain","GBR","1976 Summer","1976","Summer","Montreal","Boxing","Boxing Men's Bantamweight","Bronze"
"27569","Deng Linlin","F","16","144","34","China","CHN","2008 Summer","2008","Summer","Beijing","Gymnastics","Gymnastics Women's Team All-Around","Gold"
"27569","Deng Linlin","F","20","144","34","China","CHN","2012 Summer","2012","Summer","London","Gymnastics","Gymnastics Women's Balance Beam","Gold"
"29879","Gabriela Drgoi","F","15","146","37","Romania","ROU","2008 Summer","2008","Summer","Beijing","Gymnastics","Gymnastics Women's Team All-Around","Bronze"
"28981","Aurelia Dobre (-Mofid)","F","15","146","42","Romania","ROU","1988 Summer","1988","Summer","Seoul","Gymnastics","Gymnastics Women's Team All-Around","Silver"
"31662","Wolfgang Ehrl","M","20","147","NA","Germany","GER","1932 Summer","1932","Summer","Los Angeles","Wrestling","Wrestling Men's Featherweight, Greco-Roman","Silver"
"1301","Sri Wahyuni Agustiani","F","21","147","47","Indonesia","INA","2016 Summer","2016","Summer","Rio de Janeiro","Weightlifting","Weightlifting Women's Flyweight","Silver"
"31662","Wolfgang Ehrl","M","24","147","NA","Germany","GER","1936 Summer","1936","Summer","Berlin","Wrestling","Wrestling Men's Lightweight, Freestyle","Silver"
"11195","Mohini Bhardwaj (-Barry)","F","25","147","43","United States","USA","2004 Summer","2004","Summer","Athina","Gymnastics","Gymnastics Women's Team All-Around","Silver"
"24814","Barry Edward Dagger","M","47","147","41","Great Britain","GBR","1984 Summer","1984","Summer","Los Angeles","Shooting","Shooting Men's Air Rifle, 10 metres","Bronze"
"1109","Lavinia Agache (-Carney)","F","16","148","40","Romania","ROU","1984 Summer","1984","Summer","Los Angeles","Gymnastics","Gymnastics Women's Horse Vault","Bronze"
"1109","Lavinia Agache (-Carney)","F","16","148","40","Romania","ROU","1984 Summer","1984","Summer","Los Angeles","Gymnastics","Gymnastics Women's Team All-Around","Gold"
"25766","Yelena Viktorovna Davydova (-Filatova)","F","18","148","45","Soviet Union","URS","1980 Summer","1980","Summer","Moskva","Gymnastics","Gymnastics Women's Individual All-Around","Gold"
"25766","Yelena Viktorovna Davydova (-Filatova)","F","18","148","45","Soviet Union","URS","1980 Summer","1980","Summer","Moskva","Gymnastics","Gymnastics Women's Team All-Around","Gold"
"25766","Yelena Viktorovna Davydova (-Filatova)","F","18","148","45","Soviet Union","URS","1980 Summer","1980","Summer","Moskva","Gymnastics","Gymnastics Women's Balance Beam","Silver"
"610","Ginko Abukawa-Chiba","F","26","148","46","Japan","JPN","1964 Summer","1964","Summer","Tokyo","Gymnastics","Gymnastics Women's Team All-Around","Bronze"
"30491","Meagan Duhamel","F","28","148","48","Canada","CAN","2014 Winter","2014","Winter","Sochi","Figure Skating","Figure Skating Mixed Team","Silver"
"29175","Yelena Vladimirovna Dolgopolova","F","16","149","38","Russia","RUS","1996 Summer","1996","Summer","Atlanta","Gymnastics","Gymnastics Women's Team All-Around","Silver"
"32860","Alexandra Georgiana Maria Eremia","F","17","149","38","Romania","ROU","2004 Summer","2004","Summer","Athina","Gymnastics","Gymnastics Women's Balance Beam","Bronze"
"32860","Alexandra Georgiana Maria Eremia","F","17","149","38","Romania","ROU","2004 Summer","2004","Summer","Athina","Gymnastics","Gymnastics Women's Team All-Around","Gold"
"28251","Hidilyn Diaz","F","25","149","53","Philippines","PHI","2016 Summer","2016","Summer","Rio de Janeiro","Weightlifting","Weightlifting Women's Featherweight","Silver"
"20278","Chen Wei-Ling","F","26","149","47","Chinese Taipei","TPE","2008 Summer","2008","Summer","Beijing","Weightlifting","Weightlifting Women's Flyweight","Bronze"
"627","Andreea Roxana Acatrinei","F","16","150","40","Romania","ROU","2008 Summer","2008","Summer","Beijing","Gymnastics","Gymnastics Women's Team All-Around","Bronze"
"10237","Uwe Benter","M","16","150","50","West Germany","FRG","1972 Summer","1972","Summer","Munich","Rowing","Rowing Men's Coxed Fours","Gold"
"20130","Diana Maria Chelaru","F","18","150","NA","Romania","ROU","2012 Summer","2012","Summer","London","Gymnastics","Gymnastics Women's Team All-Around","Bronze"
"27576","Deng Yaping","F","19","150","53","China","CHN","1992 Summer","1992","Summer","Barcelona","Table Tennis","Table Tennis Women's Singles","Gold"
"27576","Deng Yaping","F","19","150","53","China-2","CHN","1992 Summer","1992","Summer","Barcelona","Table Tennis","Table Tennis Women's Doubles","Gold"
"14718","Isabelle Brasseur (-Marval)","F","21","150","44","Canada-1","CAN","1992 Winter","1992","Winter","Albertville","Figure Skating","Figure Skating Mixed Pairs","Bronze"
"10303","Gheorghe Berceanu","M","22","150","51","Romania","ROU","1972 Summer","1972","Summer","Munich","Wrestling","Wrestling Men's Light-Flyweight, Greco-Roman","Gold"
"14718","Isabelle Brasseur (-Marval)","F","23","150","44","Canada-1","CAN","1994 Winter","1994","Winter","Lillehammer","Figure Skating","Figure Skating Mixed Pairs","Bronze"
"27576","Deng Yaping","F","23","150","53","China","CHN","1996 Summer","1996","Summer","Atlanta","Table Tennis","Table Tennis Women's Singles","Gold"
"27576","Deng Yaping","F","23","150","53","China-1","CHN","1996 Summer","1996","Summer","Atlanta","Table Tennis","Table Tennis Women's Doubles","Gold"
"30126","Daniela Druncea","F","25","150","50","Romania","ROU","2016 Summer","2016","Summer","Rio de Janeiro","Rowing","Rowing Women's Coxed Eights","Bronze"
"10303","Gheorghe Berceanu","M","26","150","51","Romania","ROU","1976 Summer","1976","Summer","Montreal","Wrestling","Wrestling Men's Light-Flyweight, Greco-Roman","Silver"
"15722","Lyubov Aleksandrovna Bruletova","F","26","150","48","Russia","RUS","2000 Summer","2000","Summer","Sydney","Judo","Judo Women's Extra-Lightweight","Silver"
"20401","Cheong Jun Hoong","F","26","150","48","Malaysia","MAS","2016 Summer","2016","Summer","Rio de Janeiro","Diving","Diving Women's Synchronized Platform","Silver"
"28986","Mircea Dobrescu","M","26","150","51","Romania","ROU","1956 Summer","1956","Summer","Melbourne","Boxing","Boxing Men's Flyweight","Silver"
"1412","Riaz Ahmed","M","27","150","70","Pakistan","PAK","1968 Summer","1968","Summer","Mexico City","Hockey","Hockey Men's Hockey","Gold"
"21423","Clarissa Kyoko Mei Ling Chun","F","30","150","48","United States","USA","2012 Summer","2012","Summer","London","Wrestling","Wrestling Women's Flyweight, Freestyle","Bronze"
"1412","Riaz Ahmed","M","30","150","70","Pakistan","PAK","1972 Summer","1972","Summer","Munich","Hockey","Hockey Men's Hockey","Silver"
"28997","Elena Dobrioiu (Radu-)","F","22","151","45","Romania","ROU","1980 Summer","1980","Summer","Moskva","Rowing","Rowing Women's Coxed Eights","Bronze"
"20501","Nadezhda Petrovna Chernyshova","F","25","151","42","Soviet Union","URS","1976 Summer","1976","Summer","Montreal","Rowing","Rowing Women's Coxed Quadruple Sculls","Silver"
"20560","Gennady Timofeyevich Chetin","M","29","151","56","Soviet Union","URS","1972 Summer","1972","Summer","Munich","Weightlifting","Weightlifting Men's Bantamweight","Bronze"
"22411","Magdalena Cecilia Colledge","F","15","152","NA","Great Britain","GBR","1936 Winter","1936","Winter","Garmisch-Partenkirchen","Figure Skating","Figure Skating Women's Singles","Silver"
"6955","Svetlana Nikolayevna Baitova","F","16","152","39","Soviet Union","URS","1988 Summer","1988","Summer","Seoul","Gymnastics","Gymnastics Women's Team All-Around","Gold"
"25312","Jamie Annette Dantzscher","F","18","152","49","United States","USA","2000 Summer","2000","Summer","Sydney","Gymnastics","Gymnastics Women's Team All-Around","Bronze"
"5023","Joahnys Oscar Argilagos Prez","M","19","152","49","Cuba","CUB","2016 Summer","2016","Summer","Rio de Janeiro","Boxing","Boxing Men's Light-Flyweight","Bronze"
"20362","Cheng Fei","F","20","152","43","China","CHN","2008 Summer","2008","Summer","Beijing","Gymnastics","Gymnastics Women's Horse Vault","Bronze"
"20362","Cheng Fei","F","20","152","43","China","CHN","2008 Summer","2008","Summer","Beijing","Gymnastics","Gymnastics Women's Balance Beam","Bronze"
"20362","Cheng Fei","F","20","152","43","China","CHN","2008 Summer","2008","Summer","Beijing","Gymnastics","Gymnastics Women's Team All-Around","Gold"
"18602","Caitlin A. ""Kitty"" Carruthers (-Conrad)","F","22","152","44","United States-1","USA","1984 Winter","1984","Winter","Sarajevo","Figure Skating","Figure Skating Mixed Pairs","Silver"
"18913","Marissa Castelli","F","23","152","48","United States","USA","2014 Winter","2014","Winter","Sochi","Figure Skating","Figure Skating Mixed Team","Bronze"
"4304","Stefan Georgiev Angelov","M","25","152","48","Bulgaria","BUL","1972 Summer","1972","Summer","Munich","Wrestling","Wrestling Men's Light-Flyweight, Greco-Roman","Bronze"
"20295","Chen Xiexia","F","25","152","49","China","CHN","2008 Summer","2008","Summer","Beijing","Weightlifting","Weightlifting Women's Flyweight","Gold"
"4304","Stefan Georgiev Angelov","M","29","152","48","Bulgaria","BUL","1976 Summer","1976","Summer","Montreal","Wrestling","Wrestling Men's Light-Flyweight, Greco-Roman","Bronze"
"28916","Hryhoriy Mykolaiovych Dmytrenko","M","35","152","52","Soviet Union","URS","1980 Summer","1980","Summer","Moskva","Rowing","Rowing Men's Coxed Eights","Bronze"
"11488","Pamela Jean ""Pam"" Bileck (-Flat)","F","15","153","43","United States","USA","1984 Summer","1984","Summer","Los Angeles","Gymnastics","Gymnastics Women's Team All-Around","Silver"
"30890","Michelle Hollis Dusserre (-Farrell)","F","15","153","41","United States","USA","1984 Summer","1984","Summer","Los Angeles","Gymnastics","Gymnastics Women's Team All-Around","Silver"
"31240","Gertrd Emilia Eberle (-Kollar)","F","16","153","40","Romania","ROU","1980 Summer","1980","Summer","Moskva","Gymnastics","Gymnastics Women's Team All-Around","Silver"
"31240","Gertrd Emilia Eberle (-Kollar)","F","16","153","40","Romania","ROU","1980 Summer","1980","Summer","Moskva","Gymnastics","Gymnastics Women's Uneven Bars","Silver"
"16593","Petra Burka","F","17","153","60","Canada","CAN","1964 Winter","1964","Winter","Innsbruck","Figure Skating","Figure Skating Women's Singles","Bronze"
"21462","Oksana Aleksandrovna Chusovitina","F","17","153","43","Unified Team","EUN","1992 Summer","1992","Summer","Barcelona","Gymnastics","Gymnastics Women's Team All-Around","Gold"
"20525","Vivian Jepkemoi Cheruiyot","F","28","153","40","Kenya","KEN","2012 Summer","2012","Summer","London","Athletics","Athletics Women's 10,000 metres","Bronze"
"20525","Vivian Jepkemoi Cheruiyot","F","28","153","40","Kenya","KEN","2012 Summer","2012","Summer","London","Athletics","Athletics Women's 5,000 metres","Silver"
"20525","Vivian Jepkemoi Cheruiyot","F","32","153","40","Kenya","KEN","2016 Summer","2016","Summer","Rio de Janeiro","Athletics","Athletics Women's 5,000 metres","Gold"
"20525","Vivian Jepkemoi Cheruiyot","F","32","153","40","Kenya","KEN","2016 Summer","2016","Summer","Rio de Janeiro","Athletics","Athletics Women's 10,000 metres","Silver"
"20426","Nina Viktorovna Cheremisina","F","33","153","47","Soviet Union","URS","1980 Summer","1980","Summer","Moskva","Rowing","Rowing Women's Coxed Fours","Bronze"
"20426","Nina Viktorovna Cheremisina","F","33","153","47","Soviet Union","URS","1980 Summer","1980","Summer","Moskva","Rowing","Rowing Women's Coxed Quadruple Sculls","Silver"
"21462","Oksana Aleksandrovna Chusovitina","F","33","153","43","Germany","GER","2008 Summer","2008","Summer","Beijing","Gymnastics","Gymnastics Women's Horse Vault","Silver"
"10361","Yelena Viktorovna Berezhnaya","F","20","154","42","Russia-2","RUS","1998 Winter","1998","Winter","Nagano","Figure Skating","Figure Skating Mixed Pairs","Silver"
"18738","Jol Casamayor Johnson","M","21","154","54","Cuba","CUB","1992 Summer","1992","Summer","Barcelona","Boxing","Boxing Men's Bantamweight","Gold"
"22154","Barbara Ann Cochran (-Williams)","F","21","154","50","United States","USA","1972 Winter","1972","Winter","Sapporo","Alpine Skiing","Alpine Skiing Women's Slalom","Gold"
"1483","Nobuyuki Aihara","M","21","154","53","Japan","JPN","1956 Summer","1956","Summer","Melbourne","Gymnastics","Gymnastics Men's Team All-Around","Silver"
"1483","Nobuyuki Aihara","M","21","154","53","Japan","JPN","1956 Summer","1956","Summer","Melbourne","Gymnastics","Gymnastics Men's Floor Exercise","Silver"
"10641","Yanet Bermoy Acosta","F","21","154","48","Cuba","CUB","2008 Summer","2008","Summer","Beijing","Judo","Judo Women's Extra-Lightweight","Silver"
"28904","Roman Mikhaylovich Dmitriyev","M","23","154","48","Soviet Union","URS","1972 Summer","1972","Summer","Munich","Wrestling","Wrestling Men's Light-Flyweight, Freestyle","Gold"
"2225","Arsen Shakhlamazovich Alakhverdiyev","M","23","154","52","Soviet Union","URS","1972 Summer","1972","Summer","Munich","Wrestling","Wrestling Men's Flyweight, Freestyle","Silver"
"10361","Yelena Viktorovna Berezhnaya","F","24","154","42","Russia-1","RUS","2002 Winter","2002","Winter","Salt Lake City","Figure Skating","Figure Skating Mixed Pairs","Gold"
"12583","Inge Bdding (Eckhoff-)","F","25","154","48","West Germany","FRG","1972 Summer","1972","Summer","Munich","Athletics","Athletics Women's 4 x 400 metres Relay","Bronze"
"1483","Nobuyuki Aihara","M","25","154","53","Japan","JPN","1960 Summer","1960","Summer","Roma","Gymnastics","Gymnastics Men's Team All-Around","Gold"
"1483","Nobuyuki Aihara","M","25","154","53","Japan","JPN","1960 Summer","1960","Summer","Roma","Gymnastics","Gymnastics Men's Floor Exercise","Gold"
"10641","Yanet Bermoy Acosta","F","25","154","48","Cuba","CUB","2012 Summer","2012","Summer","London","Judo","Judo Women's Half-Lightweight","Silver"
"4013","Kenkichi Ando","M","26","154","59","Japan","JPN","1976 Summer","1976","Summer","Montreal","Weightlifting","Weightlifting Men's Bantamweight","Bronze"
