"discipline_title","host_city","year","Medal","participant_type","athlete_url","athlete","team","team_short","host_country","host_full",""
"Curling","beijing","2022","GOLD","GameTeam","","","Italy","ITA","China","Beijing 2022","Winter"
"Curling","beijing","2022","GOLD","GameTeam","","","Italy","ITA","China","Beijing 2022","Winter"
"Curling","beijing","2022","SILVER","GameTeam","","","Norway","NOR","China","Beijing 2022","Winter"
"Curling","beijing","2022","SILVER","GameTeam","","","Norway","NOR","China","Beijing 2022","Winter"
"Curling","beijing","2022","BRONZE","GameTeam","","","Sweden","SWE","China","Beijing 2022","Winter"
"Curling","beijing","2022","BRONZE","GameTeam","","","Sweden","SWE","China","Beijing 2022","Winter"
"Curling","beijing","2022","GOLD","GameTeam","","","Great Britain","GBR","China","Beijing 2022","Winter"
"Curling","beijing","2022","SILVER","GameTeam","","","Japan","JPN","China","Beijing 2022","Winter"
"Curling","beijing","2022","BRONZE","GameTeam","","","Sweden","SWE","China","Beijing 2022","Winter"
"Curling","beijing","2022","GOLD","GameTeam","","","Sweden","SWE","China","Beijing 2022","Winter"
"Curling","beijing","2022","SILVER","GameTeam","","","Great Britain","GBR","China","Beijing 2022","Winter"
"Curling","beijing","2022","BRONZE","GameTeam","","","Canada","CAN","China","Beijing 2022","Winter"
"Freestyle Skiing","beijing","2022","SILVER","Athlete","https://olympics.com/en/athletes/mikael-kingsbury","Mikael KINGSBURY","Canada","CAN","China","Beijing 2022","Winter"
"Freestyle Skiing","beijing","2022","GOLD","Athlete","https://olympics.com/en/athletes/wallberg","Walter WALLBERG","Sweden","SWE","China","Beijing 2022","Winter"
"Freestyle Skiing","beijing","2022","BRONZE","Athlete","https://olympics.com/en/athletes/ikuma-horishima","Ikuma HORISHIMA","Japan","JPN","China","Beijing 2022","Winter"
"Freestyle Skiing","beijing","2022","GOLD","Athlete","https://olympics.com/en/athletes/nico-porteous","Nico PORTEOUS","New Zealand","NZL","China","Beijing 2022","Winter"
"Freestyle Skiing","beijing","2022","SILVER","Athlete","https://olympics.com/en/athletes/david-wise","David WISE","United States of America","USA","China","Beijing 2022","Winter"
"Freestyle Skiing","beijing","2022","BRONZE","Athlete","https://olympics.com/en/athletes/alex-ferreira","Alex FERREIRA","United States of America","USA","China","Beijing 2022","Winter"
"Freestyle Skiing","beijing","2022","BRONZE","Athlete","https://olympics.com/en/athletes/henrik-harlaut","Henrik HARLAUT","Sweden","SWE","China","Beijing 2022","Winter"
